No п\п;адрес;name;Телефон;Режим работы;;long;lat
1;676124 Амурская область, Магдагачинский район, пгт.Магдагачи, ул. К.Маркса, д. 23;Администрация муниципального образования рабочего поселка (п.г.т.) Магдагачи;8(41653)97-4-11;Понедельник - Пятница с 8-00 до 17-00. Перерыв на обед с 12-00 до 13-00. Суббота, Воскресенье - выходной;;125,80557;53,454069
2;676135, Амурская область, Магдагачинский район п.г.т. Ушумун, пер. Школьный, д. 13;Администрация муниципального образования рабочего поселка (п.г.т.) Ушумун;8(41653)94-6-36;Понедельник - Пятница с 8-00 до 17-00. Перерыв на обед с 12-00 до 13-00. Суббота, Воскресенье - выходной;;126,551872;52,786847
3;676145, Амурская область, Магдагачинский район п.г.т. Сиваки, ул. Советская, д. 3;Администрация муниципального образования рабочего поселка (п.г.т.) Сиваки;8(41653)93-3-06, 93-1-10, 93-2-29;Понедельник - Пятница с 8-00 до 17-00. Перерыв на обед с 12-00 до 13-00. Суббота, Воскресенье - выходной;;126,748882;52,634319
4;676105 Амурская область, Магдагачинский район, с. Чалганы, ул. Советская, д. 11;Администрация муниципального образования Чалганского сельсовета;8(41653)99-1-31;Понедельник - Пятница с 8-00 до 17-00. Перерыв на обед с 12-00 до 13-00. Суббота, Воскресенье - выходной;;126,43678;52,951825
5;676150, Амурская область, Магдагачинский район, с. Тыгда, ул. Советская, д. 8/2;Администрация муниципального образования Тыгдинского сельсовета;8(41653)91-191, 91-588, 91-430;Понедельник с 8-00 до 17-00 ,Вторник - Пятница с 8-00 до 16-00. Перерыв на обед с 12-00 до 13-00.;;126,328066;53,113233
6;676140 Амурская область, Магдагачинский район, с. Дактуй, ул. Проезжая, д. 3;Администрация муниципального образования Дактуйского сельсовета;8(41653)96-1-00;Понедельник - Пятница с 8-00 до 17-00. Перерыв на обед с 12-00 до 13-00. Суббота, Воскресенье - выходной;;126,177374;53,333984
7;676110 Амурская область Магдагачинский район с.Гонжа ул. Драгалина,30А;Администрация муниципального образования Гонжинского сельсовета;8(41653)95-0-12;"с 08-00 до 16-20; Перерыв на обед с 12-00 до 13-00; Суббота, воскресенье - выходной";;125,375511;53,58512
8;676100 Амурская область, Магдагачинский район, с. Гудачи, ул. Школьная, д. 27;Администрация муниципального образования Гудачинского сельсовета;8(41653)95-3-68;Понедельник - Пятница с 8-00 до 16-00. Перерыв на обед с 12-00 до 13-00. Суббота, Воскресенье - выходной;;125,235176;53,684724
9;676130, Амурская область, Магдагачинский р-он, с.Толбузино, ул.Пограничная-24/1;Администрация Толбузинского сельсовета;8(41653)90-2-10;"с 08-00 до 16-00; Перерыв на обед с 12-00 до 13-00; Суббота, воскресенье - выходной";;125,445148;53,135745
10;676154 Амурская область Магдагачинский район с. Кузнецово ул. Амурская;Администрация муниципального образования Кузнецовского сельсовета;8(41653)98-4-43;Понедельник – пятница с 8-00 до 15-30 без перерыва на обед;;126,161725;52,564223
11;676153, Амурская область, Магдагачинский район, с. Черняево, ул. Новая, д. 3;Администрация муниципального образования Черняевского сельсовета;8(41653)98-3-01;Понедельник - Пятница с 8-30 до 16-30. Перерыв на обед с 12-00 до 13-00. Суббота, Воскресенье - выходной;;125,994171;52,787114
